"Loss of Employment Income, Household Pulse Survey","","","","","","",""
"Adults in households where someone had a loss in employment income since March 13, 2020","","","","","","",""
"","","Total Loss of Employment Income","","Percent Loss of Employment Income","","",""
"Area","Week","Number","Margin of Error +/-","Percent","Percent Margin of Error +/-","Measure Universe","Total Population age 18+"
"United States","11 - July 9-14, 2020","124268411","1700106","50.1","0.7","248021660","249,170,916"
" -> States","","","","","","","--"
"Alabama","11 - July 9-14, 2020","1618864","116843","43.8","3.2","3693707","3,717,378"
"Alaska","11 - July 9-14, 2020","236822","20985","45.2","4.1","523412","524,925"
"Arizona","11 - July 9-14, 2020","2677233","153592","48.3","2.8","5548095","5,597,268"
"Arkansas","11 - July 9-14, 2020","1022146","76206","45.9","3.4","2228007","2,246,527"
"California","11 - July 9-14, 2020","17580900","626802","58.9","2.1","29827159","29,939,021"
"Colorado","11 - July 9-14, 2020","2072780","132954","46.8","3","4431152","4,454,718"
"Connecticut","11 - July 9-14, 2020","1379934","112732","50.8","4.1","2713866","2,732,423"
"Delaware","11 - July 9-14, 2020","360472","35137","47.8","4.7","753433","754,637"
"District of Columbia","11 - July 9-14, 2020","176201","23577","32.8","4.4","536908","542,635"
"Florida","11 - July 9-14, 2020","8358071","474907","49","2.8","17059230","17,085,385"
"Georgia","11 - July 9-14, 2020","3923719","266409","49.6","3.3","7916295","7,955,983"
"Hawaii","11 - July 9-14, 2020","640664","44026","59.8","4.1","1071105","1,073,229"
"Idaho","11 - July 9-14, 2020","556145","50725","41.7","3.9","1334211","1,343,198"
"Illinois","11 - July 9-14, 2020","4584313","333122","48.2","3.5","9516950","9,546,424"
"Indiana","11 - July 9-14, 2020","2381443","196616","47.7","3.9","4993720","5,015,550"
"Iowa","11 - July 9-14, 2020","913711","85211","39.1","3.6","2337005","2,342,905"
"Kansas","11 - July 9-14, 2020","914421","87296","42.8","4.1","2135591","2,140,957"
"Kentucky","11 - July 9-14, 2020","1441986","125562","43.2","3.7","3335154","3,344,102"
"Louisiana","11 - July 9-14, 2020","1727740","102795","50.5","3","3421363","3,431,432"
"Maine","11 - July 9-14, 2020","477419","48229","45","4.6","1060843","1,065,620"
"Maryland","11 - July 9-14, 2020","2224659","163364","48.8","3.5","4557039","4,586,920"
"Massachusetts","11 - July 9-14, 2020","2768890","193737","52.1","3.6","5315879","5,324,065"
"Michigan","11 - July 9-14, 2020","4168204","281818","54.7","3.7","7621065","7,644,458"
"Minnesota","11 - July 9-14, 2020","1968243","125106","46.5","3","4231784","4,241,624"
"Mississippi","11 - July 9-14, 2020","1173619","82694","53.9","3.8","2177646","2,189,670"
"Missouri","11 - July 9-14, 2020","2177043","144315","47.4","3.1","4592351","4,617,880"
"Montana","11 - July 9-14, 2020","347567","30891","42.4","3.8","819006","822,204"
"Nebraska","11 - July 9-14, 2020","523823","55974","36.9","3.9","1417664","1,418,191"
"Nevada","11 - July 9-14, 2020","1453712","94609","60.8","4","2392075","2,399,457"
"New Hampshire","11 - July 9-14, 2020","516863","55488","48.2","5.2","1071221","1,073,014"
"New Jersey","11 - July 9-14, 2020","3453375","261132","51.4","3.9","6713126","6,776,822"
"New Mexico","11 - July 9-14, 2020","771269","61421","48.6","3.9","1585851","1,589,574"
"New York","11 - July 9-14, 2020","8648931","540724","58.7","3.7","14723477","14,847,080"
"North Carolina","11 - July 9-14, 2020","3412124","244885","42.7","3.1","7993089","8,017,566"
"North Dakota","11 - July 9-14, 2020","229701","27494","41.1","4.9","559434","561,016"
"Ohio","11 - July 9-14, 2020","4423432","289335","50.9","3.2","8694222","8,822,539"
"Oklahoma","11 - July 9-14, 2020","1182230","111249","40.6","3.8","2909161","2,916,436"
"Oregon","11 - July 9-14, 2020","1634720","101180","49.5","3.1","3299805","3,302,727"
"Pennsylvania","11 - July 9-14, 2020","4830993","297025","49.6","3","9734292","9,776,154"
"Rhode Island","11 - July 9-14, 2020","482639","40770","59.3","4.9","813409","817,559"
"South Carolina","11 - July 9-14, 2020","1860000","163782","47","4.1","3959929","3,969,123"
"South Dakota","11 - July 9-14, 2020","259942","32526","40.7","5.1","638258","642,658"
"Tennessee","11 - July 9-14, 2020","2383949","208850","45.7","4","5213070","5,221,475"
"Texas","11 - July 9-14, 2020","10648503","566337","50","2.7","21294201","21,356,906"
"Utah","11 - July 9-14, 2020","1016165","92620","44.7","4","2273931","2,281,207"
"Vermont","11 - July 9-14, 2020","222666","28003","45.9","5.8","484587","485,485"
"Virginia","11 - July 9-14, 2020","2709190","220009","42.3","3.4","6403126","6,472,737"
"Washington","11 - July 9-14, 2020","2825915","171899","48.1","2.9","5871237","5,890,357"
"West Virginia","11 - July 9-14, 2020","670881","66298","48.7","4.8","1376845","1,379,576"
"Wisconsin","11 - July 9-14, 2020","2062203","172181","46.7","3.9","4419447","4,438,719"
"Wyoming","11 - July 9-14, 2020","171976","19874","40.2","4.7","428225","433,400"
" -> Metro Areas","","","","","","","--"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","11 - July 9-14, 2020","2283419","220053","51.2","3.3","4460444","4,474,973"
"Boston-Cambridge-Newton, MA-NH Metro Area","11 - July 9-14, 2020","2061859","211675","54.8","4.4","3763835","3,771,315"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","11 - July 9-14, 2020","3741972","284762","52.7","3.7","7105973","7,128,595"
"Dallas-Fort Worth-Arlington, TX Metro Area","11 - July 9-14, 2020","3019269","417378","50.3","5.6","6000797","6,013,109"
"Detroit-Warren-Dearborn, MI Metro Area","11 - July 9-14, 2020","2251681","244480","59","5.2","3814427","3,832,309"
"Houston-The Woodlands-Sugar Land, TX Metro Area","11 - July 9-14, 2020","3397233","391854","60.6","4.5","5604921","5,644,640"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","11 - July 9-14, 2020","6166781","506751","64.8","3.9","9519700","9,560,179"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","11 - July 9-14, 2020","2599745","315594","56.1","4.3","4631394","4,653,519"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","11 - July 9-14, 2020","7973195","565119","57.3","3.1","13917860","14,089,062"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","11 - July 9-14, 2020","2569892","273561","50.7","5.1","5067251","5,092,650"
"Phoenix-Mesa-Chandler, AZ Metro Area","11 - July 9-14, 2020","1937566","179791","49.4","3.4","3919123","3,962,617"
"Riverside-San Bernardino-Ontario, CA Metro Area","11 - July 9-14, 2020","2602657","387949","59","5.8","4409451","4,433,840"
"San Francisco-Oakland-Berkeley, CA Metro Area","11 - July 9-14, 2020","1939867","306223","55.3","5","3505681","3,515,749"
"Seattle-Tacoma-Bellevue, WA Metro Area","11 - July 9-14, 2020","1553167","135872","49.2","3.6","3156544","3,165,001"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","11 - July 9-14, 2020","2039615","188211","45.7","3","4465416","4,520,997"
"Source: U.S. Census Bureau, Household Pulse Survey","","","","","","",""